GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ESJ001
"G550001000275","1990","WI",,,,,,,,,,,,"99","Adams","001","Adams city","00275","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000007505","0000000000","Adams city","F","+43955287","-089816929","25",2.33
"G550001000300","1990","WI",,,,,,,,,,,,"99","Adams","001","Adams town","00300","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000130940","0000000234","Adams town","A","+43938527","-089807561","43",2.58
"G550001007300","1990","WI",,,,,,,,,,,,"99","Adams","001","Big Flats town","07300","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000124593","0000000014","Big Flats town","A","+44106375","-089798940","43",2.49
"G550001016075","1990","WI",,,,,,,,,,,,"99","Adams","001","Colburn town","16075","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000093052","0000000000","Colburn town","A","+44112432","-089656160","43",2.57
"G550001019575","1990","WI",,,,,,,,,,,,"99","Adams","001","Dell Prairie town","19575","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000086601","0000002995","Dell Prairie town","A","+43689601","-089748057","43",2.64
"G550001022000","1990","WI",,,,,,,,,,,,"99","Adams","001","Easton town","22000","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000093508","0000000122","Easton town","A","+43857063","-089782459","43",2.53
"G550001027950","1990","WI",,,,,,,,,,,,"99","Adams","001","Friendship village","27950","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000002297","0000000087","Friendship village","F","+43971788","-089819993","47",2.41
"G550001037625","1990","WI",,,,,,,,,,,,"99","Adams","001","Jackson town","37625","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000090217","0000002479","Jackson town","A","+43765463","-089658144","43",2.37
"G550001043425","1990","WI",,,,,,,,,,,,"99","Adams","001","Leola town","43425","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000096414","0000000000","Leola town","A","+44199625","-089656647","43",2.55
"G550001044250","1990","WI",,,,,,,,,,,,"99","Adams","001","Lincoln town","44250","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000093740","0000000000","Lincoln town","A","+43941137","-089658727","43",2.56
"G550001053725","1990","WI",,,,,,,,,,,,"99","Adams","001","Monroe town","53725","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000056735","0000042946","Monroe town","A","+44104297","-089949709","43",2.31
"G550001056525","1990","WI",,,,,,,,,,,,"99","Adams","001","New Chester town","56525","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000080840","0000000472","New Chester town","A","+43859173","-089651656","43",2.64
"G550001056750","1990","WI",,,,,,,,,,,,"99","Adams","001","New Haven town","56750","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000075803","0000002943","New Haven town","A","+43678793","-089649266","43",2.57
"G550001065450","1990","WI",,,,,,,,,,,,"99","Adams","001","Preston town","65450","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091659","0000001217","Preston town","A","+44022412","-089775116","43",2.52
"G550001065825","1990","WI",,,,,,,,,,,,"99","Adams","001","Quincy town","65825","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000084988","0000017657","Quincy town","A","+43893024","-089912337","43",2.17
"G550001067425","1990","WI",,,,,,,,,,,,"99","Adams","001","Richfield town","67425","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091819","0000000000","Richfield town","A","+44029418","-089660185","43",2.74
"G550001069275","1990","WI",,,,,,,,,,,,"99","Adams","001","Rome town","69275","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000140533","0000020868","Rome town","A","+44202587","-089818465","43",2.35
"G550001076350","1990","WI",,,,,,,,,,,,"99","Adams","001","Springville town","76350","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000113718","0000001939","Springville town","A","+43778051","-089787365","43",2.30
"G550001077800","1990","WI",,,,,,,,,,,,"99","Adams","001","Strongs Prairie town","77800","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000122817","0000011645","Strongs Prairie town","A","+44022485","-089928145","43",2.50
"G550001088150","1990","WI",,,,,,,,,,,,"99","Adams","001","Wisconsin Dells city","88150","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000000011","0000000000","Wisconsin Dells city","F","+43641897","-089777880","25",0.00
"G550003000550","1990","WI",,,,,,,,,,,,"99","Ashland","003","Agenda town","00550","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000229616","0000002265","Agenda town","A","+46062738","-090371534","43",2.97
"G550003003225","1990","WI",,,,,,,,,,,,"99","Ashland","003","Ashland city","03225","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000034111","0000000703","Ashland city","F","+46580154","-090874147","25",2.33
"G550003003250","1990","WI",,,,,,,,,,,,"99","Ashland","003","Ashland town","03250","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000106798","0000000213","Ashland town","A","+46382930","-090733642","43",2.88
"G550003011525","1990","WI",,,,,,,,,,,,"99","Ashland","003","Butternut village","11525","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000004147","0000000000","Butternut village","F","+46013660","-090497689","47",2.34
"G550003014550","1990","WI",,,,,,,,,,,,"99","Ashland","003","Chippewa town","14550","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000322284","0000002829","Chippewa town","A","+46027610","-090700793","43",2.60
"G550003029250","1990","WI",,,,,,,,,,,,"99","Ashland","003","Gingles town","29250","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000101555","0000000012","Gingles town","A","+46544300","-090833892","43",2.75
"G550003029875","1990","WI",,,,,,,,,,,,"99","Ashland","003","Gordon town","29875","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000270468","0000006634","Gordon town","A","+46206654","-090745385","43",2.33
"G550003037775","1990","WI",,,,,,,,,,,,"99","Ashland","003","Jacobs town","37775","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000132267","0000000842","Jacobs town","A","+46173596","-090506819","43",2.61
"G550003042562","1990","WI",,,,,,,,,,,,"99","Ashland","003","La Pointe town","42562","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000200941","0000001020","La Pointe town","A","+46919340","-090639809","43",2.13
"G550003049200","1990","WI",,,,,,,,,,,,"99","Ashland","003","Marengo town","49200","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000184768","0000002532","Marengo town","A","+46329955","-090852253","43",2.73
"G550003050700","1990","WI",,,,,,,,,,,,"99","Ashland","003","Mellen city","50700","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000004795","0000000000","Mellen city","F","+46323264","-090661106","25",2.39
"G550003054400","1990","WI",,,,,,,,,,,,"99","Ashland","003","Morse town","54400","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000266182","0000004193","Morse town","A","+46311545","-090657910","43",2.81
"G550003061600","1990","WI",,,,,,,,,,,,"99","Ashland","003","Peeksville town","61600","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000095308","0000000275","Peeksville town","A","+46108247","-090501876","43",3.04
"G550003071350","1990","WI",,,,,,,,,,,,"99","Ashland","003","Sanborn town","71350","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000405131","0000011257","Sanborn town","A","+46541318","-090671578","43",3.02
"G550003072825","1990","WI",,,,,,,,,,,,"99","Ashland","003","Shanagolden town","72825","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000231280","0000001479","Shanagolden town","A","+46114708","-090775222","43",2.61
"G550003086850","1990","WI",,,,,,,,,,,,"99","Ashland","003","White River town","86850","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000114079","0000000262","White River town","A","+46440702","-090848229","43",3.01
"G550005001325","1990","WI",,,,,,,,,,,,"99","Barron","005","Almena village","01325","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000002591","0000000000","Almena village","F","+45414511","-092036471","47",2.50
"G550005001350","1990","WI",,,,,,,,,,,,"99","Barron","005","Almena town","01350","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000079456","0000004946","Almena town","A","+45424316","-092091677","43",2.83
"G550005002775","1990","WI",,,,,,,,,,,,"99","Barron","005","Arland town","02775","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091545","0000000000","Arland town","A","+45337655","-091970866","43",3.05
"G550005004875","1990","WI",,,,,,,,,,,,"99","Barron","005","Barron city","04875","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000006815","0000000216","Barron city","F","+45400580","-091846491","25",2.39
"G550005004900","1990","WI",,,,,,,,,,,,"99","Barron","005","Barron town","04900","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000085797","0000000173","Barron town","A","+45418223","-091852830","43",3.13
"G550005005650","1990","WI",,,,,,,,,,,,"99","Barron","005","Bear Lake town","05650","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000085151","0000006001","Bear Lake town","A","+45594036","-091838426","43",3.03
"G550005012250","1990","WI",,,,,,,,,,,,"99","Barron","005","Cameron village","12250","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000006243","0000000263","Cameron village","F","+45403341","-091743408","47",2.45
"G550005013500","1990","WI",,,,,,,,,,,,"99","Barron","005","Cedar Lake town","13500","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000081126","0000010551","Cedar Lake town","A","+45592503","-091601773","43",2.69
"G550005014325","1990","WI",,,,,,,,,,,,"99","Barron","005","Chetek city","14325","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000006100","0000001823","Chetek city","F","+45315963","-091653058","25",2.22
"G550005014350","1990","WI",,,,,,,,,,,,"99","Barron","005","Chetek town","14350","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000078858","0000008084","Chetek town","A","+45337929","-091597197","43",2.59
"G550005015600","1990","WI",,,,,,,,,,,,"99","Barron","005","Clinton town","15600","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000090976","0000000763","Clinton town","A","+45427258","-091966455","43",3.11
"G550005017875","1990","WI",,,,,,,,,,,,"99","Barron","005","Crystal Lake town","17875","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000087039","0000004617","Crystal Lake town","A","+45507858","-092098100","43",2.66
"G550005018025","1990","WI",,,,,,,,,,,,"99","Barron","005","Cumberland city","18025","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000006481","0000001524","Cumberland city","F","+45535938","-092023210","25",2.24
"G550005018050","1990","WI",,,,,,,,,,,,"99","Barron","005","Cumberland town","18050","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000083218","0000002453","Cumberland town","A","+45508356","-091966738","43",2.72
"G550005018575","1990","WI",,,,,,,,,,,,"99","Barron","005","Dallas village","18575","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000003766","0000000100","Dallas village","F","+45258061","-091814664","47",2.44
"G550005018600","1990","WI",,,,,,,,,,,,"99","Barron","005","Dallas town","18600","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000087692","0000000016","Dallas town","A","+45251851","-091854889","43",3.01
"G550005020650","1990","WI",,,,,,,,,,,,"99","Barron","005","Dovre town","20650","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000090955","0000000245","Dovre town","A","+45251507","-091601046","43",3.02
"G550005020750","1990","WI",,,,,,,,,,,,"99","Barron","005","Doyle town","20750","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000092193","0000000051","Doyle town","A","+45514583","-091610769","43",2.84
"G550005033225","1990","WI",,,,,,,,,,,,"99","Barron","005","Haugen village","33225","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000001318","0000000016","Haugen village","F","+45607775","-091778431","47",2.63
"G550005041600","1990","WI",,,,,,,,,,,,"99","Barron","005","Lakeland town","41600","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000085568","0000005914","Lakeland town","A","+45598484","-091970610","43",2.67
"G550005048825","1990","WI",,,,,,,,,,,,"99","Barron","005","Maple Grove town","48825","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091869","0000000000","Maple Grove town","A","+45336909","-091850849","43",3.06
"G550005048950","1990","WI",,,,,,,,,,,,"99","Barron","005","Maple Plain town","48950","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000086231","0000007004","Maple Plain town","A","+45591111","-092098018","43",2.86
"G550005056350","1990","WI",,,,,,,,,,,,"99","Barron","005","New Auburn village","56350","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000000518","0000000000","New Auburn village","F","+45208562","-091549757","47",3.71
"G550005058950","1990","WI",,,,,,,,,,,,"99","Barron","005","Oak Grove town","58950","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000090177","0000001166","Oak Grove town","A","+45595013","-091724878","43",3.13
"G550005065150","1990","WI",,,,,,,,,,,,"99","Barron","005","Prairie Farm village","65150","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000002513","0000000091","Prairie Farm village","F","+45237601","-091980758","47",2.37
"G550005065175","1990","WI",,,,,,,,,,,,"99","Barron","005","Prairie Farm town","65175","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000089051","0000000000","Prairie Farm town","A","+45252051","-091977305","43",3.12
"G550005065200","1990","WI",,,,,,,,,,,,"99","Barron","005","Prairie Lake town","65200","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000085800","0000004632","Prairie Lake town","A","+45333347","-091735684","43",2.76
"G550005067350","1990","WI",,,,,,,,,,,,"99","Barron","005","Rice Lake city","67350","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000016844","0000002676","Rice Lake city","F","+45496924","-091739189","25",2.34
"G550005067375","1990","WI",,,,,,,,,,,,"99","Barron","005","Rice Lake town","67375","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000069887","0000003193","Rice Lake town","A","+45511725","-091718808","43",2.71
"G550005074125","1990","WI",,,,,,,,,,,,"99","Barron","005","Sioux Creek town","74125","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000090455","0000000830","Sioux Creek town","A","+45250202","-091722782","43",3.14
"G550005076550","1990","WI",,,,,,,,,,,,"99","Barron","005","Stanfold town","76550","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000093012","0000000121","Stanfold town","A","+45509426","-091847720","43",2.79
"G550005076600","1990","WI",,,,,,,,,,,,"99","Barron","005","Stanley town","76600","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000084364","0000001489","Stanley town","A","+45430070","-091724454","43",3.05
"G550005078450","1990","WI",,,,,,,,,,,,"99","Barron","005","Sumner town","78450","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000092418","0000000030","Sumner town","A","+45422187","-091599972","43",2.94
"G550005081075","1990","WI",,,,,,,,,,,,"99","Barron","005","Turtle Lake village","81075","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000005800","0000000237","Turtle Lake village","F","+45393396","-092141153","47",2.27
"G550005081100","1990","WI",,,,,,,,,,,,"99","Barron","005","Turtle Lake town","81100","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091145","0000001121","Turtle Lake town","A","+45344134","-092099519","43",3.09
"G550005082375","1990","WI",,,,,,,,,,,,"99","Barron","005","Vance Creek town","82375","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091907","0000000087","Vance Creek town","A","+45245682","-092087542","43",2.76
"G550007004725","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Barksdale town","04725","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000143860","0000028764","Barksdale town","A","+46619434","-091071063","43",2.75
"G550007004750","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Barnes town","04750","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000304386","0000017426","Barnes town","A","+46305643","-091487803","43",2.15
"G550007005350","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Bayfield city","05350","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000001751","0000000030","Bayfield city","F","+46811614","-090821435","25",2.22
"G550007005375","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Bayfield town","05375","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000231222","0000116251","Bayfield town","A","+46890558","-090952971","43",2.74
"G550007005475","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Bayview town","05475","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000107449","0000037892","Bayview town","A","+46750440","-090921975","43",2.72
"G550007006200","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Bell town","06200","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000154460","0000002060","Bell town","A","+46791289","-091110258","43",2.26
"G550007011675","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Cable town","11675","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000179306","0000005653","Cable town","A","+46202467","-091298268","43",2.31
"G550007015750","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Clover town","15750","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000154369","0000000779","Clover town","A","+46766300","-091237181","43",2.37
"G550007019662","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Delta town","19662","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000180166","0000006874","Delta town","A","+46453834","-091297659","43",2.31
"G550007020887","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Drummond town","20887","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000355276","0000015597","Drummond town","A","+46326287","-091296241","43",2.03
"G550007022925","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Eileen town","22925","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091243","0000000200","Eileen town","A","+46540193","-090992646","43",2.84
"G550007030175","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Grand View town","30175","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000270169","0000007338","Grand View town","A","+46309973","-091076351","43",2.35
"G550007036300","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Hughes town","36300","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000134698","0000003769","Hughes town","A","+46524895","-091492161","43",2.46
"G550007037200","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Iron River town","37200","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000081407","0000008859","Iron River town","A","+46548656","-091364840","43",2.08
"G550007039025","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Kelly town","39025","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000094992","0000000000","Kelly town","A","+46452302","-090986647","43",2.86
"G550007039425","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Keystone town","39425","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000092750","0000000750","Keystone town","A","+46530626","-091184329","43",2.83
"G550007044275","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Lincoln town","44275","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091969","0000000918","Lincoln town","A","+46366012","-090966900","43",2.56
"G550007049900","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Mason village","49900","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000001317","0000000000","Mason village","F","+46435505","-091062269","47",3.09
"G550007049925","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Mason town","49925","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000093002","0000000000","Mason town","A","+46465289","-091111780","43",2.72
"G550007055375","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Namakagon town","55375","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000168301","0000018667","Namakagon town","A","+46202120","-091049367","43",2.09
"G550007060275","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Orienta town","60275","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000140194","0000000512","Orienta town","A","+46710009","-091442481","43",2.38
"G550007060775","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Oulu town","60775","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000091881","0000000000","Oulu town","A","+46628907","-091482511","43",2.98
"G550007062700","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Pilsen town","62700","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000089656","0000000564","Pilsen town","A","+46564848","-091176551","43",3.03
"G550007064512","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Port Wing town","64512","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000120732","0000000219","Port Wing town","A","+46748908","-091335167","43",2.47
"G550007070300","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Russell town","70300","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000129074","0000130316","Russell town","A","+46945122","-090839821","43",3.17
"G550007080750","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Tripp town","80750","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000089923","0000000529","Tripp town","A","+46628082","-091357742","43",2.72
"G550007083525","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Washburn city","83525","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000010152","0000005813","Washburn city","F","+46673877","-090893344","25",2.46
"G550007083550","1990","WI",,,,,,,,,,,,"99","Bayfield","007","Washburn town","83550","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000220197","0000000517","Washburn town","A","+46663839","-091090097","43",3.08
"G550009001150","1990","WI",,,,,,,,,,,,"99","Brown","009","Allouez village","01150","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000011976","0000001368","Allouez village","F","+44472250","-088026046","47",2.69
"G550009003425","1990","WI",,,,,,,,,,,,"99","Brown","009","Ashwaubenon village","03425","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000027052","0000000965","Ashwaubenon village","F","+44485767","-088083555","47",2.63
"G550009006350","1990","WI",,,,,,,,,,,,"99","Brown","009","Bellevue town","06350","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000036903","0000000138","Bellevue town","A","+44459667","-087955862","43",2.70
"G550009019700","1990","WI",,,,,,,,,,,,"99","Brown","009","Denmark village","19700","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000003835","0000000000","Denmark village","F","+44348306","-087829605","47",2.56
"G550009019775","1990","WI",,,,,,,,,,,,"99","Brown","009","De Pere city","19775","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000021569","0000001852","De Pere city","F","+44438483","-088071688","25",2.65
"G550009019800","1990","WI",,,,,,,,,,,,"99","Brown","009","De Pere town","19800","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000046016","0000000360","De Pere town","A","+44426250","-087971618","43",3.09
"G550009022225","1990","WI",,,,,,,,,,,,"99","Brown","009","Eaton town","22225","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000062741","0000000195","Eaton town","A","+44445012","-087825678","43",3.16
"G550009029550","1990","WI",,,,,,,,,,,,"99","Brown","009","Glenmore town","29550","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000084750","0000000000","Glenmore town","A","+44372773","-087947904","43",3.43
"G550009031000","1990","WI",,,,,,,,,,,,"99","Brown","009","Green Bay city","31000","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000113528","0000027073","Green Bay city","F","+44521600","-087989750","25",2.45
"G550009031025","1990","WI",,,,,,,,,,,,"99","Brown","009","Green Bay town","31025","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000057308","0000022133","Green Bay town","A","+44599964","-087796997","43",2.89
"G550009035150","1990","WI",,,,,,,,,,,,"99","Brown","009","Hobart town","35150","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000086338","0000000283","Hobart town","A","+44493750","-088159863","43",3.26
"G550009035325","1990","WI",,,,,,,,,,,,"99","Brown","009","Holland town","35325","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000093167","0000000000","Holland town","A","+44273288","-088099176","43",3.44
"G550009035950","1990","WI",,,,,,,,,,,,"99","Brown","009","Howard village","35950","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000046525","0000012870","Howard village","F","+44573350","-088076757","47",2.88
"G550009036425","1990","WI",,,,,,,,,,,,"99","Brown","009","Humboldt town","36425","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000062032","0000000000","Humboldt town","A","+44502185","-087823529","43",3.42
"G550009042900","1990","WI",,,,,,,,,,,,"99","Brown","009","Lawrence town","42900","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000050019","0000001674","Lawrence town","A","+44406517","-088141975","43",3.09
"G550009054300","1990","WI",,,,,,,,,,,,"99","Brown","009","Morrison town","54300","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000090825","0000003612","Morrison town","A","+44284459","-087948623","43",3.13
"G550009056575","1990","WI",,,,,,,,,,,,"99","Brown","009","New Denmark town","56575","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000089918","0000000312","New Denmark town","A","+44370010","-087828943","43",3.22
"G550009063075","1990","WI",,,,,,,,,,,,"99","Brown","009","Pittsfield town","63075","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000084304","0000000059","Pittsfield town","A","+44630932","-088184838","43",3.17
"G550009065675","1990","WI",,,,,,,,,,,,"99","Brown","009","Pulaski village","65675","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000004549","0000000005","Pulaski village","F","+44669227","-088236892","47",2.59
"G550009068875","1990","WI",,,,,,,,,,,,"99","Brown","009","Rockland town","68875","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000057783","0000001457","Rockland town","A","+44382044","-088055376","43",3.20
"G550009072200","1990","WI",,,,,,,,,,,,"99","Brown","009","Scott town","72200","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000051106","0000089552","Scott town","A","+44608457","-087864548","43",2.85
"G550009077975","1990","WI",,,,,,,,,,,,"99","Brown","009","Suamico town","77975","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000093881","0000059731","Suamico town","A","+44633217","-088031925","43",3.07
"G550009089150","1990","WI",,,,,,,,,,,,"99","Brown","009","Wrightstown village","89150","C5","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000005201","0000000520","Wrightstown village","F","+44325000","-088174359","47",2.97
"G550009089175","1990","WI",,,,,,,,,,,,"99","Brown","009","Wrightstown town","89175","T1","3","3080",,,,"9999","2","Wisconsin","55",,,,"0000088034","0000000540","Wrightstown town","A","+44325899","-088091974","43",3.25
"G550011001225","1990","WI",,,,,,,,,,,,"99","Buffalo","011","Alma city","01225","C5","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000015013","0000004990","Alma city","F","+44330990","-091922157","25",2.18
"G550011001250","1990","WI",,,,,,,,,,,,"99","Buffalo","011","Alma town","01250","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000110981","0000000367","Alma town","A","+44377458","-091837507","43",3.07
"G550011006675","1990","WI",,,,,,,,,,,,"99","Buffalo","011","Belvidere town","06675","T1","3","9999",,,,"9999","2","Wisconsin","55",,,,"0000085404","0000003630","Belvidere town","A","+44257545","-091846357","43",2.79
